regime,metric,parameter,pawn_median,delta,S1_givendata,n
oxide,flux,trap_carbide_N_T,0.05477254522614165,0.052511878954418965,0.010376120257541532,1513
oxide,flux,temperature,0.45515685253191984,0.5772966602702316,0.8507211943415539,1513
oxide,flux,k_diss_ref,0.06073677253278603,0.053969643130162254,0.007898639342617692,1513
oxide,flux,E_diss,0.07483925187010587,0.0759428756136234,0.014788763345406613,1513
oxide,flux,K_eq_ref,0.05746225865895134,0.08430419923476984,0.005986992794501197,1513
oxide,flux,H_eq,0.06108188484741397,0.05784687840464676,0.0055629482026251014,1513
oxide,flux,k_diss_metal_ref,0.06568897370690222,0.09236903338728526,0.0076738722912165,1513
oxide,flux,E_diss_metal,0.07752021115016436,0.08193672500691374,0.012437207089203562,1513
oxide,flux,K_eq_metal_ref,0.07041840473074415,0.0639941823293619,0.005360121570217755,1513
oxide,flux,H_eq_metal,0.0757575452157749,0.04651086126571216,0.009620812391167945,1513
oxide,permeability,D_ref,0.0672728994237694,0.06962365172097207,0.010525134336691694,1513
oxide,permeability,E_D,0.06730525235342726,0.055494657471401504,0.01042564476860423,1513
oxide,permeability,K_s_ref,0.08463702057479307,0.05766652305674999,0.02854868396549756,1513
oxide,permeability,H_s,0.07341232497165844,0.049570716923994534,0.014928818242096057,1513
oxide,permeability,D_ox_ref,0.057263101683861284,0.04470321073864992,0.003958271972251786,1513
oxide,permeability,E_D_ox,0.0811816355383585,0.07493935593832458,0.012849937913287389,1513
oxide,permeability,K_ox_ref,0.07548487063550771,0.05693530145568269,0.008489061921584431,1513
oxide,permeability,H_sol_ox,0.1896433995876794,0.1874934711943294,0.15046798980418644,1513
oxide,permeability,metal_thickness,0.06334067223138977,0.049952639058052695,0.007446631668314483,1513
oxide,permeability,oxide_thickness,0.0717682864460144,0.062159729471038344,0.013487678332608955,1513
oxide,permeability,P_upstream,0.07056941386570253,0.05464668963445684,0.012683760138017747,1513
oxide,permeability,f_pinhole,0.07169029097651883,0.04558277454241706,0.0024896894616326594,1513
oxide,permeability,f_crack,0.07135291053693596,0.07340561217754106,0.010809825555206948,1513
oxide,permeability,f_gb_defect,0.05247895720532428,0.05339182786717106,0.0045727450601529785,1513
oxide,permeability,crack_thickness_factor,0.059359231726339654,0.07158663164143034,0.012796773493334588,1513
oxide,permeability,gb_diffusivity_factor,0.07609090853592093,0.027739269977216555,0.007449630150517243,1513
oxide,permeability,grain_size,0.0700726156970713,0.05037793269190945,0.007809847003753067,1513
oxide,permeability,gb_thickness,0.057320003676744155,0.07374298476424795,0.00951062917550061,1513
oxide,permeability,lattice_density,0.07118220455828733,0.06361981819296882,0.008931461800826301,1513
oxide,permeability,trap_dislocation_E_b,0.06488796873016638,0.05496769179658537,0.00631215963221818,1513
oxide,permeability,trap_dislocation_N_T,0.07282141966095165,0.06728878865611795,0.0042446172730702565,1513
oxide,permeability,trap_gb_E_b,0.06127250364391608,0.06297078992485894,0.003473097489935572,1513
oxide,permeability,trap_gb_N_T,0.05772829563326734,0.05089702673483879,0.014263146690172465,1513
oxide,permeability,trap_vacancy_E_b,0.0681488906299926,0.08826089843635927,0.017220615918618818,1513
oxide,permeability,trap_vacancy_N_T,0.06238428104331993,0.06037224384604574,0.027829346568120077,1513
oxide,permeability,trap_carbide_E_b,0.07185846285831843,0.06807356765243192,0.022345410955493517,1513
oxide,permeability,trap_carbide_N_T,0.05416084880265076,0.04846662493625589,0.009765319078473394,1513
oxide,permeability,temperature,0.45249340155736373,0.6072231115573066,0.8568494115048082,1513
oxide,permeability,k_diss_ref,0.06528410854043623,0.05669969416861465,0.007271286806972008,1513
oxide,permeability,E_diss,0.07120627847835317,0.08135311879768863,0.014033445096186918,1513
oxide,permeability,K_eq_ref,0.0651650923781969,0.08343937932886936,0.004602236722301797,1513
oxide,permeability,H_eq,0.0595172960172982,0.05653253345325279,0.006490718627781277,1513
oxide,permeability,k_diss_metal_ref,0.07204667714246946,0.09107397419671828,0.007876298020292381,1513
